State,Make/Model,Thefts
Pennsylvania,Jeep Cherokee/Grand Cherokee,188
Pennsylvania,Chevrolet Malibu,159
Rhode Island,Honda Accord,101
Rhode Island,Honda Civic,95
Rhode Island,Toyota Camry,69
Rhode Island,Nissan Maxima,45
Rhode Island,Toyota Corolla,40
Rhode Island,Nissan Altima,38
Rhode Island,Ford Pickup (Full Size),36
Rhode Island,Jeep Cherokee/Grand Cherokee,32
Rhode Island,Honda CR-V,27
Rhode Island,Toyota Avalon,18
South Carolina,Ford Pickup (Full Size),586
South Carolina,Honda Accord,458
South Carolina,Chevrolet Pickup (Full Size),455
South Carolina,Ford Crown Victoria,210
South Carolina,Toyota Camry,183
South Carolina,Honda Civic,176
South Carolina,Dodge Pickup (Full Size),172
South Carolina,Chevrolet Impala,166
South Carolina,Nissan Altima,155
South Carolina,Ford Explorer,146
South Dakota,Chevrolet Pickup (Full Size),52
South Dakota,Ford Pickup (Full Size),47
South Dakota,Chevrolet Impala,24
South Dakota,Dodge Pickup (Full Size),23
South Dakota,Honda Civic,23
South Dakota,GMC Pickup (Full Size),22
South Dakota,Chevrolet Malibu,20
South Dakota,Chevrolet Pickup (Small Size),17
South Dakota,Ford Taurus,17
South Dakota,Jeep Cherokee/Grand Cherokee,17
Tennessee,Chevrolet Pickup (Full Size),693
Tennessee,Ford Pickup (Full Size),468
Tennessee,Honda Accord,267
Tennessee,Nissan Altima,215
Tennessee,Chevrolet Impala,213
Tennessee,GMC Pickup (Full Size),201
Tennessee,Honda Civic,198
Tennessee,Nissan Maxima,188
Tennessee,Toyota Camry,188
Tennessee,Jeep Cherokee/Grand Cherokee,178
Texas,Ford Pickup (Full Size),7897
Texas,Chevrolet Pickup (Full Size),6158
Texas,Dodge Pickup (Full Size),2898
Texas,Honda Accord,1626
Texas,GMC Pickup (Full Size),1450
Texas,Honda Civic,1371
Texas,Chevrolet Tahoe,1148
Texas,Toyota Camry,1030
Texas,Nissan Altima,957
Texas,Chevrolet Impala,898
Utah,Honda Accord,938
Utah,Honda Civic,915
Utah,Subaru Legacy,262
Utah,Ford Pickup (Full Size),238
Utah,Chevrolet Pickup (Full Size),225
Utah,Dodge Pickup (Full Size),117
Utah,Subaru Impreza,106
Utah,Acura Integra,103
Utah,Jeep Cherokee/Grand Cherokee,102
Utah,Nissan Altima,97
Vermont,Chevrolet Pickup (Full Size),15
Vermont,Ford Pickup (Full Size),8
Vermont,Honda Accord,8
Vermont,Hyundai Elantra,7
Vermont,Honda Civic,6
Vermont,Subaru Legacy,6
Vermont,Ford Pickup (Small Size),5
Vermont,GMC Pickup (Full Size),5
Vermont,Nissan Sentra,5
Vermont,Subaru Impreza,5
Virginia,Honda Accord,266
Virginia,Ford Pickup (Full Size),205
Virginia,Honda Civic,200
Virginia,Toyota Camry,181
Virginia,Nissan Altima,162
Virginia,Chevrolet Pickup (Full Size),144
Virginia,Toyota Corolla,140
Virginia,Ford Explorer,119
Virginia,Jeep Cherokee/Grand Cherokee,107
Virginia,Chevrolet Impala,105
Washington,Honda Accord,3757
Washington,Honda Civic,3113
Washington,Ford Pickup (Full Size),745
Washington,Acura Integra,640
Washington,Toyota Camry,602
Washington,Subaru Legacy,599
Washington,Chevrolet Pickup (Full Size),562
Washington,Jeep Cherokee/Grand Cherokee,362
Washington,Toyota Corolla,332
Washington,Nissan Sentra,296
West Virginia,Ford Pickup (Full Size),87
West Virginia,Chevrolet Pickup (Full Size),76
West Virginia,Jeep Cherokee/Grand Cherokee,36
West Virginia,Dodge Pickup (Full Size),29
West Virginia,Chevrolet Pickup (Small Size),29
West Virginia,Chevrolet Impala,24
West Virginia,Toyota Camry,20
West Virginia,Ford Taurus,19
West Virginia,GMC Pickup (Full Size),18
West Virginia,Chevrolet Cavalier,17
Wisconsin,Dodge Caravan,1035
Wisconsin,Honda Civic,470
Wisconsin,Honda Accord,450
Wisconsin,Chrysler Town & Country,313
Wisconsin,Chevrolet Impala,232
Wisconsin,Dodge Stratus,209
Wisconsin,Toyota Camry,191
Wisconsin,Chevrolet Malibu,179
Wisconsin,Dodge Intrepid,179
Wisconsin,Honda CR-V,172
Wyoming,Chevrolet Pickup (Full Size),32
Wyoming,Ford Pickup (Full Size),29
Wyoming,Dodge Pickup (Full Size),13
Wyoming,GMC Pickup (Full Size),10
Wyoming,Jeep Cherokee/Grand Cherokee,10
Wyoming,Dodge Durango,9
Wyoming,Toyota Camry,9
Wyoming,GMC Yukon,8
Wyoming,Honda Accord,8
Wyoming,Chevrolet Cavalier,6
