State,Make/Model,Model Year,Thefts
Nebraska,Jeep Cherokee/Grand Cherokee,1999,70
Nebraska,Chevrolet Impala,2006,68
Nebraska,GMC Pickup (Full Size),2015,61
Nebraska,Toyota Camry,2000,49
Nebraska,Chevrolet Pickup (Small Size),1998,43
Nevada,Honda Accord,1996,"1,048"
Nevada,Honda Civic,1998,"1,011"
Nevada,Chevrolet Pickup (Full Size),2006,377
Nevada,Ford Pickup (Full Size),2006,279
Nevada,Toyota Camry,2015,254
Nevada,Nissan Maxima,1997,208
Nevada,Nissan Altima,1997,207
Nevada,Nissan Sentra,2014,200
Nevada,Toyota Corolla,2014,151
Nevada,Dodge Pickup (Full Size),2005,148
New Hampshire,Honda Civic,1997,34
New Hampshire,Honda Accord,1996,20
New Hampshire,Chevrolet Pickup (Full Size),2002,19
New Hampshire,Ford Pickup (Full Size),2002,17
New Hampshire,Dodge Caravan,2003,16
New Hampshire,Ford Focus,2007,14
New Hampshire,Toyota Camry,1999,13
New Hampshire,Jeep Cherokee/Grand Cherokee,2000,11
New Hampshire,GMC Pickup (Full Size),2007,9
New Hampshire,Toyota Corolla,1999,9
New Jersey,Honda Accord,1997,844
New Jersey,Honda Civic,1998,753
New Jersey,Dodge Caravan,2002,427
New Jersey,Nissan Sentra,1998,340
New Jersey,Ford Pickup (Full Size),2006,295
New Jersey,Nissan Altima,2014,291
New Jersey,Jeep Cherokee/Grand Cherokee,2000,286
New Jersey,Toyota Camry,2014,232
New Jersey,Nissan Maxima,1998,195
New Jersey,Ford Econoline E350,2003,184
New Mexico,Honda Civic,1998,572
New Mexico,Ford Pickup (Full Size),2006,557
New Mexico,Honda Accord,1994,545
New Mexico,Chevrolet Pickup (Full Size),2006,483
New Mexico,Dodge Pickup (Full Size),2003,269
New Mexico,GMC Pickup (Full Size),2006,180
New Mexico,Jeep Cherokee/Grand Cherokee,1994,149
New Mexico,Toyota Camry,1999,128
New Mexico,Chevrolet Pickup (Small Size),1998,101
New Mexico,Chevrolet Impala,2005,90
New York,Honda Accord,1997,724
New York,Honda Civic,1998,707
New York,Toyota Camry,2014,500
New York,Nissan Altima,2015,374
New York,Dodge Caravan,2000,368
New York,Ford Econoline E350,2011,339
New York,Nissan Maxima,1998,328
New York,Honda CR-V,1997,283
New York,Toyota Corolla,2010,280
New York,Jeep Cherokee/Grand Cherokee,2015,263
North Carolina,Honda Accord,1997,609
North Carolina,Ford Pickup (Full Size),2004,424
North Carolina,Chevrolet Pickup (Full Size),2003,370
North Carolina,Honda Civic,2000,350
North Carolina,Toyota Camry,2014,291
North Carolina,Nissan Altima,2015,249
North Carolina,Jeep Cherokee/Grand Cherokee,1999,203
North Carolina,Chevrolet Impala,2006,194
North Carolina,Toyota Corolla,2014,190
North Carolina,Ford Explorer,2003,185
North Dakota,Chevrolet Pickup (Full Size),2002,127
North Dakota,Ford Pickup (Full Size),1997,101
North Dakota,Dodge Pickup (Full Size),1998,49
North Dakota,GMC Pickup (Full Size),2006,37
North Dakota,Chevrolet Impala,2015,27
North Dakota,Honda Accord,1990,23
North Dakota,Jeep Cherokee/Grand Cherokee,1999,21
North Dakota,Chevrolet Pickup (Small Size),1999,18
North Dakota,Pontiac Grand Am,2000,17
North Dakota,Ford Taurus,1998,16
Ohio,Dodge Caravan,2003,679
Ohio,Chevrolet Pickup (Full Size),1999,579
Ohio,Ford Pickup (Full Size),2004,540
Ohio,Jeep Cherokee/Grand Cherokee,2000,467
Ohio,Chevrolet Impala,2007,441
Ohio,Honda Accord,1997,437
Ohio,Chevrolet Malibu,2015,343
Ohio,Honda Civic,2000,325
Ohio,Toyota Camry,2014,308
Ohio,Dodge Pickup (Full Size),2005,297
Oklahoma,Chevrolet Pickup (Full Size),1994,"1,143"
Oklahoma,Ford Pickup (Full Size),2004,780
Oklahoma,Dodge Pickup (Full Size),2001,419
Oklahoma,GMC Pickup (Full Size),1994,304
Oklahoma,Honda Civic,1998,292
Oklahoma,Honda Accord,1996,269
Oklahoma,Chevrolet Impala,2005,181
Oklahoma,Chevrolet Pickup (Small Size),1998,127
Oklahoma,Ford Explorer,2002,123
Oklahoma,Chevrolet Malibu,2009,119
Oregon,Honda Accord,1994,"1,491"
Oregon,Honda Civic,1998,"1,276"
Oregon,Subaru Legacy,1998,377
Oregon,Ford Pickup (Full Size),2004,295
Oregon,Toyota Camry,1990,221
Oregon,Chevrolet Pickup (Full Size),1999,217
Oregon,Acura Integra,1994,209
Oregon,Subaru Impreza,1999,171
Oregon,Honda CR-V,1999,158
Oregon,Jeep Cherokee/Grand Cherokee,1994,141
Pennsylvania,Honda Accord,1997,544
Pennsylvania,Honda Civic,1998,539
Pennsylvania,Ford Pickup (Full Size),2006,303
Pennsylvania,Toyota Camry,2014,269
Pennsylvania,Nissan Altima,2015,261
Pennsylvania,Chevrolet Impala,2006,224
Pennsylvania,Toyota Corolla,2014,210
Pennsylvania,Chevrolet Pickup (Full Size),2003,203
Pennsylvania,Jeep Cherokee/Grand Cherokee,1999,188
Pennsylvania,Chevrolet Malibu,2015,159
Rhode Island,Honda Accord,1997,101
Rhode Island,Honda Civic,1998,95
Rhode Island,Toyota Camry,2014,69
Rhode Island,Nissan Maxima,2000,45
Rhode Island,Toyota Corolla,2014,40
Rhode Island,Nissan Altima,2013,38
Rhode Island,Ford Pickup (Full Size),2003,36
Rhode Island,Jeep Cherokee/Grand Cherokee,1999,32
Rhode Island,Honda CR-V,1999,27
Rhode Island,Toyota Avalon,2000,18
South Carolina,Ford Pickup (Full Size),2006,586
South Carolina,Honda Accord,1996,458
South Carolina,Chevrolet Pickup (Full Size),2004,455
South Carolina,Ford Crown Victoria,2003,210
South Carolina,Toyota Camry,2014,183
South Carolina,Honda Civic,2000,176
South Carolina,Dodge Pickup (Full Size),2001,172
South Carolina,Chevrolet Impala,2008,166
South Carolina,Nissan Altima,2015,155
South Carolina,Ford Explorer,2002,146
South Dakota,Chevrolet Pickup (Full Size),1994,52
South Dakota,Ford Pickup (Full Size),2001,47
